,Classification
80081,Normal
80082,Normal
80083,Normal
80084,Normal
80085,Normal
80086,Normal
80087,Normal
80088,Normal
80089,Normal
80090,Normal
80091,Normal
80092,Normal
80093,Normal
80094,Normal
80095,Normal
80096,Normal
80097,Normal
80098,Normal
80099,Normal
80100,Normal
80101,Normal
80102,Normal
80103,Normal
80104,Normal
80105,Normal
80106,Normal
80107,Normal
80108,Normal
80109,Normal
80110,Normal
80111,Normal
80112,Normal
80113,Normal
80114,Normal
80115,Normal
80116,Normal
80117,Normal
80118,Normal
80119,Normal
80120,Normal
80121,Normal
80122,Normal
80123,Normal
80124,Normal
80125,Normal
80126,Normal
80127,Normal
80128,Normal
80129,Normal
80130,Normal
80131,Normal
80132,Normal
80133,Normal
80134,Normal
80135,Normal
80136,Normal
80137,Normal
80138,Normal
80139,Normal
80140,Normal
80141,Normal
80142,Normal
80143,Normal
80144,Normal
80145,Normal
80146,Normal
80147,Normal
80148,Normal
80149,Normal
80150,Normal
80151,Normal
80152,Normal
80153,Normal
80154,Normal
80155,Normal
80156,Normal
80157,Normal
80158,Normal
80159,Normal
80160,Normal
80161,Normal
80162,Normal
80163,Fraud
80164,Normal
80165,Normal
80166,Normal
80167,Normal
80168,Normal
80169,Normal
80170,Normal
80171,Normal
80172,Normal
80173,Normal
80174,Normal
80175,Normal
80176,Normal
80177,Normal
80178,Normal
80179,Normal
80180,Normal
80181,Fraud
80182,Normal
80183,Normal
80184,Normal
80185,Fraud
80186,Normal
80187,Normal
80188,Normal
80189,Normal
80190,Normal
80191,Normal
80192,Normal
80193,Normal
80194,Normal
80195,Fraud
80196,Normal
80197,Normal
80198,Normal
80199,Normal
80200,Normal
80201,Normal
80202,Normal
80203,Normal
80204,Normal
80205,Normal
80206,Normal
80207,Normal
80208,Normal
80209,Normal
80210,Normal
80211,Normal
80212,Normal
80213,Normal
80214,Normal
80215,Normal
80216,Normal
80217,Normal
80218,Normal
80219,Normal
80220,Normal
80221,Normal
80222,Normal
80223,Normal
80224,Normal
80225,Normal
80226,Normal
80227,Normal
80228,Normal
80229,Normal
80230,Normal
80231,Normal
80232,Normal
80233,Fraud
80234,Normal
80235,Normal
80236,Fraud
80237,Normal
80238,Normal
80239,Normal
80240,Normal
80241,Normal
80242,Normal
80243,Normal
80244,Normal
80245,Normal
80246,Normal
80247,Normal
80248,Normal
80249,Normal
80250,Normal
80251,Normal
80252,Normal
80253,Normal
80254,Normal
80255,Normal
80256,Normal
80257,Normal
80258,Normal
80259,Normal
80260,Normal
80261,Normal
80262,Normal
80263,Normal
80264,Normal
80265,Normal
80266,Normal
80267,Normal
80268,Normal
80269,Normal
80270,Normal
80271,Normal
80272,Normal
80273,Normal
80274,Normal
80275,Normal
80276,Normal
80277,Normal
80278,Normal
80279,Normal
80280,Normal
80281,Normal
80282,Normal
80283,Normal
80284,Normal
80285,Normal
80286,Normal
80287,Normal
80288,Normal
80289,Normal
80290,Normal
80291,Normal
80292,Normal
80293,Normal
80294,Normal
80295,Normal
80296,Normal
80297,Normal
80298,Normal
80299,Normal
80300,Normal
80301,Normal
80302,Normal
80303,Normal
80304,Normal
80305,Normal
80306,Normal
80307,Normal
80308,Normal
80309,Normal
80310,Normal
80311,Normal
80312,Normal
80313,Normal
80314,Normal
80315,Normal
80316,Normal
80317,Normal
80318,Normal
80319,Normal
80320,Normal
80321,Normal
80322,Normal
80323,Normal
80324,Normal
80325,Normal
80326,Normal
80327,Normal
80328,Normal
80329,Normal
80330,Normal
80331,Normal
80332,Fraud
80333,Normal
80334,Normal
80335,Normal
80336,Normal
80337,Normal
80338,Normal
80339,Normal
80340,Normal
80341,Normal
80342,Normal
80343,Normal
80344,Normal
80345,Normal
80346,Normal
80347,Normal
80348,Normal
80349,Normal
80350,Normal
80351,Normal
80352,Normal
80353,Normal
80354,Normal
80355,Normal
80356,Normal
80357,Normal
80358,Normal
80359,Normal
80360,Normal
80361,Normal
80362,Normal
80363,Normal
80364,Normal
80365,Normal
80366,Normal
80367,Normal
80368,Normal
80369,Normal
80370,Normal
80371,Normal
80372,Normal
80373,Normal
80374,Normal
80375,Normal
80376,Normal
80377,Normal
80378,Normal
80379,Normal
80380,Normal
80381,Normal
80382,Fraud
80383,Normal
80384,Normal
80385,Normal
80386,Normal
80387,Normal
80388,Normal
80389,Normal
80390,Normal
80391,Normal
80392,Normal
80393,Normal
80394,Normal
80395,Normal
80396,Normal
80397,Normal
80398,Normal
80399,Normal
80400,Normal
80401,Normal
80402,Normal
80403,Normal
80404,Normal
80405,Normal
80406,Normal
80407,Normal
80408,Normal
80409,Normal
80410,Normal
80411,Normal
80412,Fraud
80413,Normal
80414,Normal
80415,Normal
80416,Normal
80417,Normal
80418,Normal
80419,Normal
80420,Normal
80421,Normal
80422,Normal
80423,Normal
80424,Normal
80425,Normal
80426,Normal
80427,Normal
80428,Normal
80429,Normal
80430,Normal
80431,Fraud
80432,Normal
80433,Normal
80434,Normal
80435,Normal
80436,Normal
80437,Normal
80438,Normal
80439,Normal
80440,Normal
80441,Normal
80442,Normal
80443,Normal
80444,Normal
80445,Normal
80446,Normal
80447,Normal
80448,Normal
80449,Normal
80450,Normal
80451,Normal
80452,Normal
80453,Normal
80454,Normal
80455,Normal
80456,Normal
80457,Normal
80458,Normal
80459,Normal
80460,Normal
80461,Normal
80462,Normal
80463,Normal
80464,Normal
80465,Normal
80466,Normal
80467,Normal
80468,Normal
80469,Normal
80470,Normal
80471,Normal
80472,Normal
80473,Normal
80474,Normal
80475,Normal
80476,Normal
80477,Normal
80478,Normal
80479,Normal
80480,Normal
80481,Normal
80482,Normal
80483,Normal
80484,Normal
80485,Normal
80486,Normal
80487,Normal
80488,Normal
80489,Normal
80490,Normal
80491,Normal
80492,Normal
80493,Normal
80494,Normal
80495,Normal
80496,Normal
80497,Normal
80498,Normal
80499,Normal
80500,Normal
80501,Normal
80502,Normal
80503,Normal
80504,Normal
80505,Normal
80506,Normal
80507,Normal
80508,Normal
80509,Normal
80510,Normal
80511,Normal
80512,Normal
80513,Normal
80514,Normal
80515,Normal
80516,Normal
80517,Normal
80518,Normal
80519,Normal
80520,Normal
80521,Normal
80522,Normal
80523,Normal
80524,Normal
80525,Normal
80526,Normal
80527,Normal
80528,Normal
80529,Normal
80530,Normal
80531,Normal
80532,Normal
80533,Normal
80534,Normal
80535,Normal
80536,Normal
80537,Fraud
80538,Normal
80539,Normal
80540,Normal
80541,Normal
80542,Normal
80543,Normal
80544,Normal
80545,Normal
80546,Normal
80547,Normal
80548,Normal
80549,Normal
80550,Normal
80551,Normal
80552,Normal
80553,Normal
80554,Normal
80555,Normal
80556,Normal
80557,Normal
80558,Normal
80559,Normal
80560,Fraud
80561,Normal
80562,Normal
80563,Normal
80564,Normal
80565,Normal
80566,Normal
80567,Normal
80568,Normal
80569,Normal
80570,Normal
80571,Fraud
80572,Normal
80573,Normal
80574,Normal
80575,Normal
80576,Normal
80577,Normal
80578,Normal
80579,Normal
80580,Normal
80581,Normal
80582,Normal
80583,Normal
80584,Normal
80585,Normal
80586,Normal
80587,Normal
80588,Normal
80589,Normal
80590,Normal
80591,Normal
80592,Normal
80593,Normal
80594,Normal
80595,Normal
80596,Normal
80597,Normal
80598,Normal
80599,Normal
80600,Normal
80601,Normal
80602,Normal
80603,Normal
80604,Normal
80605,Normal
80606,Normal
80607,Normal
80608,Normal
80609,Normal
80610,Normal
80611,Normal
80612,Normal
80613,Normal
80614,Normal
80615,Normal
80616,Normal
80617,Normal
80618,Normal
80619,Normal
80620,Normal
80621,Normal
80622,Normal
80623,Normal
80624,Normal
80625,Normal
80626,Normal
80627,Normal
80628,Normal
80629,Normal
80630,Normal
80631,Normal
80632,Normal
80633,Normal
80634,Normal
80635,Normal
80636,Normal
80637,Normal
80638,Normal
80639,Normal
80640,Normal
80641,Normal
80642,Normal
80643,Normal
80644,Fraud
80645,Normal
80646,Normal
80647,Normal
80648,Normal
80649,Normal
80650,Normal
80651,Normal
80652,Normal
80653,Normal
80654,Normal
80655,Normal
80656,Normal
80657,Normal
80658,Normal
80659,Normal
80660,Normal
80661,Normal
80662,Normal
80663,Normal
80664,Normal
80665,Normal
80666,Normal
80667,Normal
80668,Normal
80669,Normal
80670,Normal
80671,Normal
80672,Normal
80673,Normal
80674,Normal
80675,Normal
80676,Normal
80677,Normal
80678,Normal
80679,Normal
80680,Normal
80681,Normal
80682,Normal
80683,Normal
80684,Normal
80685,Normal
80686,Normal
80687,Normal
80688,Normal
80689,Normal
80690,Normal
80691,Normal
80692,Normal
80693,Normal
80694,Normal
80695,Normal
80696,Normal
80697,Normal
80698,Normal
80699,Normal
80700,Normal
80701,Normal
80702,Normal
80703,Normal
80704,Normal
80705,Normal
80706,Normal
80707,Normal
80708,Normal
80709,Normal
80710,Normal
80711,Normal
80712,Normal
80713,Normal
80714,Normal
80715,Normal
80716,Normal
80717,Normal
80718,Normal
80719,Normal
80720,Normal
80721,Normal
80722,Normal
80723,Normal
80724,Normal
80725,Normal
80726,Normal
80727,Normal
80728,Normal
80729,Normal
80730,Normal
80731,Normal
80732,Normal
80733,Normal
80734,Normal
80735,Normal
80736,Normal
80737,Normal
80738,Normal
80739,Normal
80740,Normal
80741,Normal
80742,Normal
80743,Normal
80744,Normal
80745,Normal
80746,Normal
80747,Normal
80748,Normal
80749,Normal
80750,Normal
80751,Normal
80752,Normal
80753,Normal
80754,Normal
80755,Normal
80756,Normal
80757,Normal
80758,Normal
80759,Normal
80760,Normal
80761,Normal
80762,Normal
80763,Normal
80764,Normal
80765,Normal
80766,Normal
80767,Normal
80768,Normal
80769,Normal
80770,Normal
80771,Normal
80772,Normal
80773,Normal
80774,Normal
80775,Normal
80776,Normal
80777,Normal
80778,Normal
80779,Normal
80780,Normal
80781,Normal
80782,Normal
80783,Normal
80784,Normal
80785,Normal
80786,Normal
80787,Normal
80788,Normal
80789,Normal
80790,Normal
80791,Normal
80792,Normal
80793,Normal
80794,Normal
80795,Normal
80796,Normal
80797,Normal
80798,Normal
80799,Normal
80800,Normal
80801,Normal
80802,Normal
80803,Normal
80804,Normal
80805,Normal
80806,Normal
80807,Normal
80808,Normal
80809,Normal
80810,Normal
80811,Normal
80812,Normal
80813,Normal
80814,Normal
80815,Normal
80816,Normal
80817,Normal
80818,Normal
80819,Normal
80820,Normal
80821,Normal
80822,Normal
80823,Normal
80824,Normal
80825,Normal
80826,Normal
80827,Normal
80828,Normal
80829,Normal
80830,Normal
80831,Normal
80832,Normal
80833,Normal
80834,Normal
80835,Normal
80836,Normal
80837,Normal
80838,Normal
80839,Normal
80840,Normal
80841,Normal
80842,Normal
80843,Normal
80844,Normal
80845,Normal
80846,Normal
80847,Normal
80848,Normal
80849,Normal
80850,Normal
80851,Normal
80852,Normal
80853,Fraud
80854,Normal
80855,Normal
80856,Fraud
80857,Normal
80858,Normal
80859,Normal
80860,Normal
80861,Normal
80862,Normal
80863,Normal
80864,Normal
80865,Normal
80866,Normal
80867,Normal
80868,Normal
80869,Normal
80870,Normal
80871,Normal
80872,Normal
80873,Normal
80874,Normal
80875,Normal
80876,Normal
80877,Normal
80878,Normal
80879,Normal
80880,Fraud
80881,Normal
80882,Normal
80883,Normal
80884,Normal
80885,Normal
80886,Normal
80887,Normal
80888,Normal
80889,Normal
80890,Normal
80891,Normal
80892,Normal
80893,Normal
80894,Normal
80895,Normal
80896,Normal
80897,Normal
80898,Normal
80899,Normal
80900,Normal
80901,Normal
80902,Normal
80903,Normal
80904,Normal
80905,Normal
80906,Normal
80907,Normal
80908,Normal
80909,Normal
80910,Normal
80911,Normal
80912,Normal
80913,Normal
80914,Normal
80915,Normal
80916,Normal
80917,Normal
80918,Normal
80919,Normal
80920,Normal
80921,Normal
80922,Normal
80923,Normal
80924,Normal
80925,Normal
80926,Normal
80927,Normal
80928,Normal
80929,Normal
80930,Normal
80931,Normal
80932,Normal
80933,Normal
80934,Normal
80935,Normal
80936,Normal
80937,Fraud
80938,Normal
80939,Normal
80940,Normal
80941,Normal
80942,Fraud
80943,Normal
80944,Normal
80945,Normal
80946,Normal
80947,Normal
80948,Normal
80949,Normal
80950,Normal
80951,Normal
80952,Normal
80953,Normal
80954,Normal
80955,Normal
80956,Normal
80957,Normal
80958,Normal
80959,Normal
80960,Normal
80961,Normal
80962,Normal
80963,Normal
80964,Normal
80965,Normal
80966,Normal
80967,Normal
80968,Normal
80969,Normal
80970,Normal
80971,Normal
80972,Normal
80973,Normal
80974,Normal
80975,Normal
80976,Normal
80977,Normal
80978,Normal
80979,Normal
80980,Normal
80981,Normal
80982,Normal
80983,Normal
80984,Normal
80985,Normal
80986,Normal
80987,Normal
80988,Normal
80989,Normal
80990,Normal
80991,Normal
80992,Normal
80993,Normal
80994,Normal
80995,Normal
80996,Normal
80997,Normal
80998,Normal
80999,Normal
81000,Normal
81001,Normal
81002,Normal
81003,Normal
81004,Normal
81005,Normal
81006,Normal
81007,Normal
81008,Normal
81009,Normal
81010,Normal
81011,Normal
81012,Normal
81013,Normal
81014,Normal
81015,Normal
81016,Normal
81017,Normal
81018,Normal
81019,Normal
81020,Normal
81021,Normal
81022,Normal
81023,Normal
81024,Normal
81025,Normal
81026,Normal
81027,Normal
81028,Normal
81029,Normal
81030,Normal
81031,Normal
81032,Normal
81033,Normal
81034,Normal
81035,Normal
81036,Normal
81037,Normal
81038,Normal
81039,Normal
81040,Normal
81041,Normal
81042,Normal
81043,Normal
81044,Normal
81045,Normal
81046,Normal
81047,Normal
81048,Normal
81049,Normal
81050,Normal
81051,Normal
81052,Normal
81053,Normal
81054,Normal
81055,Normal
81056,Normal
81057,Normal
81058,Normal
81059,Normal
81060,Normal
81061,Normal
81062,Normal
81063,Normal
81064,Normal
81065,Normal
81066,Fraud
81067,Normal
81068,Normal
81069,Normal
81070,Normal
81071,Normal
81072,Normal
81073,Normal
81074,Normal
81075,Normal
81076,Normal
81077,Normal
81078,Normal
81079,Normal
81080,Normal
81081,Normal
81082,Normal
81083,Normal
81084,Normal
81085,Normal
81086,Normal
81087,Normal
81088,Normal
81089,Normal
81090,Normal
81091,Normal
81092,Normal
81093,Normal
81094,Normal
81095,Normal
81096,Normal
81097,Normal
81098,Normal
81099,Normal
81100,Normal
81101,Normal
81102,Normal
81103,Normal
81104,Normal
81105,Normal
81106,Fraud
81107,Normal
81108,Normal
81109,Fraud
81110,Normal
81111,Normal
81112,Normal
81113,Fraud
81114,Normal
81115,Normal
81116,Normal
81117,Normal
81118,Normal
81119,Normal
81120,Fraud
81121,Normal
81122,Normal
81123,Normal
81124,Normal
81125,Normal
81126,Normal
81127,Normal
81128,Normal
81129,Normal
81130,Normal
81131,Normal
81132,Normal
81133,Normal
81134,Normal
81135,Normal
81136,Normal
81137,Normal
81138,Normal
81139,Normal
81140,Normal
81141,Normal
81142,Normal
81143,Normal
81144,Normal
81145,Normal
81146,Normal
81147,Normal
81148,Normal
81149,Normal
81150,Normal
81151,Normal
81152,Normal
81153,Normal
81154,Normal
81155,Normal
81156,Normal
81157,Normal
81158,Normal
81159,Normal
81160,Normal
81161,Normal
81162,Normal
81163,Normal
81164,Normal
81165,Normal
81166,Normal
81167,Normal
81168,Normal
81169,Normal
81170,Normal
81171,Normal
81172,Normal
81173,Normal
81174,Normal
81175,Normal
81176,Normal
81177,Normal
81178,Normal
81179,Normal
81180,Normal
81181,Normal
81182,Normal
81183,Normal
81184,Normal
81185,Normal
81186,Normal
81187,Normal
81188,Normal
81189,Normal
81190,Normal
81191,Normal
81192,Normal
81193,Normal
81194,Normal
81195,Normal
81196,Normal
81197,Normal
81198,Normal
81199,Normal
81200,Normal
81201,Normal
81202,Normal
81203,Normal
81204,Normal
81205,Normal
81206,Normal
81207,Normal
81208,Normal
81209,Normal
81210,Normal
81211,Normal
81212,Normal
81213,Normal
81214,Normal
81215,Normal
81216,Normal
81217,Normal
81218,Normal
81219,Normal
81220,Normal
81221,Normal
81222,Normal
81223,Normal
81224,Normal
81225,Normal
81226,Normal
81227,Normal
81228,Normal
81229,Normal
81230,Normal
81231,Normal
81232,Normal
81233,Normal
81234,Normal
81235,Normal
81236,Normal
81237,Normal
81238,Normal
81239,Fraud
81240,Normal
81241,Normal
81242,Normal
81243,Normal
81244,Normal
81245,Normal
81246,Normal
81247,Normal
81248,Normal
81249,Normal
81250,Normal
81251,Normal
81252,Normal
81253,Normal
81254,Normal
81255,Normal
81256,Normal
81257,Normal
81258,Normal
81259,Normal
81260,Normal
81261,Normal
81262,Fraud
81263,Normal
81264,Normal
81265,Normal
81266,Normal
81267,Normal
81268,Normal
81269,Normal
81270,Normal
81271,Normal
81272,Normal
81273,Normal
81274,Normal
81275,Normal
81276,Normal
81277,Normal
81278,Normal
81279,Normal
81280,Normal
81281,Normal
81282,Normal
81283,Normal
81284,Normal
81285,Normal
81286,Normal
81287,Normal
81288,Normal
81289,Normal
81290,Normal
81291,Normal
81292,Normal
81293,Normal
81294,Normal
81295,Normal
81296,Normal
81297,Normal
81298,Normal
81299,Normal
81300,Normal
81301,Normal
81302,Normal
81303,Normal
81304,Normal
81305,Normal
81306,Normal
81307,Normal
81308,Normal
81309,Normal
81310,Normal
81311,Normal
81312,Normal
81313,Normal
81314,Normal
81315,Normal
81316,Normal
81317,Normal
81318,Normal
81319,Normal
81320,Normal
81321,Normal
81322,Normal
81323,Normal
81324,Normal
81325,Normal
81326,Normal
81327,Normal
81328,Normal
81329,Normal
81330,Normal
81331,Normal
81332,Normal
81333,Normal
81334,Normal
81335,Normal
81336,Normal
81337,Normal
81338,Normal
81339,Normal
81340,Normal
81341,Normal
81342,Normal
81343,Normal
81344,Normal
81345,Normal
81346,Normal
81347,Normal
81348,Normal
81349,Normal
81350,Normal
81351,Normal
81352,Fraud
81353,Normal
81354,Normal
81355,Normal
81356,Normal
81357,Normal
81358,Normal
81359,Normal
81360,Normal
81361,Normal
81362,Normal
81363,Normal
81364,Normal
81365,Normal
81366,Normal
81367,Normal
81368,Normal
81369,Normal
81370,Normal
81371,Normal
81372,Normal
81373,Normal
81374,Normal
81375,Normal
81376,Normal
81377,Normal
81378,Normal
81379,Normal
81380,Normal
81381,Normal
81382,Normal
81383,Normal
81384,Normal
81385,Normal
81386,Normal
81387,Normal
81388,Normal
81389,Normal
81390,Normal
81391,Normal
81392,Fraud
81393,Normal
81394,Normal
81395,Fraud
81396,Normal
81397,Normal
81398,Normal
81399,Normal
81400,Normal
81401,Normal
81402,Normal
81403,Normal
81404,Normal
81405,Normal
81406,Normal
81407,Normal
81408,Normal
81409,Normal
81410,Normal
81411,Normal
81412,Normal
81413,Normal
81414,Normal
81415,Normal
81416,Normal
81417,Normal
81418,Normal
81419,Normal
81420,Normal
81421,Normal
81422,Normal
81423,Normal
81424,Normal
81425,Normal
81426,Normal
81427,Normal
81428,Normal
81429,Normal
81430,Normal
81431,Normal
81432,Normal
81433,Normal
81434,Normal
81435,Normal
81436,Normal
81437,Normal
81438,Normal
81439,Normal
81440,Normal
81441,Normal
81442,Normal
81443,Normal
81444,Normal
81445,Normal
81446,Normal
81447,Normal
81448,Normal
81449,Normal
81450,Normal
81451,Normal
81452,Normal
81453,Normal
81454,Normal
81455,Normal
81456,Normal
81457,Normal
81458,Normal
81459,Normal
81460,Normal
81461,Normal
81462,Normal
81463,Normal
81464,Normal
81465,Normal
81466,Normal
81467,Normal
81468,Normal
81469,Normal
81470,Normal
81471,Fraud
81472,Normal
81473,Normal
81474,Normal
81475,Normal
81476,Normal
81477,Normal
81478,Normal
81479,Normal
81480,Normal
81481,Normal
81482,Normal
81483,Normal
81484,Normal
81485,Normal
81486,Normal
81487,Normal
81488,Normal
81489,Normal
81490,Normal
81491,Normal
81492,Normal
81493,Normal
81494,Normal
81495,Normal
81496,Normal
81497,Normal
81498,Normal
81499,Normal
81500,Normal
81501,Normal
81502,Normal
81503,Normal
81504,Normal
81505,Normal
81506,Normal
81507,Normal
81508,Normal
81509,Normal
81510,Normal
81511,Normal
81512,Normal
81513,Normal
81514,Normal
81515,Normal
81516,Normal
81517,Normal
81518,Normal
81519,Normal
81520,Normal
81521,Normal
81522,Normal
81523,Normal
81524,Normal
81525,Normal
81526,Normal
81527,Normal
81528,Normal
81529,Normal
81530,Normal
81531,Fraud
81532,Normal
81533,Normal
81534,Normal
81535,Normal
81536,Normal
81537,Normal
81538,Normal
81539,Normal
81540,Normal
81541,Fraud
81542,Normal
81543,Normal
81544,Normal
81545,Normal
81546,Normal
81547,Normal
81548,Normal
81549,Normal
81550,Normal
81551,Normal
81552,Normal
81553,Normal
81554,Normal
81555,Normal
81556,Normal
81557,Normal
81558,Normal
81559,Normal
81560,Normal
81561,Normal
81562,Normal
81563,Normal
81564,Normal
81565,Normal
81566,Normal
81567,Normal
81568,Normal
81569,Normal
81570,Fraud
81571,Normal
81572,Normal
81573,Normal
81574,Normal
81575,Normal
81576,Normal
81577,Normal
81578,Normal
81579,Normal
81580,Normal
81581,Normal
81582,Normal
81583,Normal
81584,Normal
81585,Normal
81586,Normal
81587,Normal
81588,Normal
81589,Normal
81590,Normal
81591,Normal
81592,Normal
81593,Normal
81594,Normal
81595,Normal
81596,Normal
81597,Normal
81598,Normal
81599,Normal
81600,Normal
81601,Normal
81602,Normal
81603,Normal
81604,Normal
81605,Normal
81606,Normal
81607,Normal
81608,Normal
81609,Normal
81610,Normal
81611,Normal
81612,Normal
81613,Normal
81614,Normal
81615,Normal
81616,Normal
81617,Normal
81618,Normal
81619,Normal
81620,Normal
81621,Normal
81622,Normal
81623,Normal
81624,Normal
81625,Normal
81626,Normal
81627,Normal
81628,Normal
81629,Normal
81630,Normal
81631,Normal
81632,Normal
81633,Normal
81634,Normal
81635,Normal
81636,Normal
81637,Normal
81638,Normal
81639,Normal
81640,Normal
81641,Normal
81642,Normal
81643,Normal
81644,Normal
81645,Normal
81646,Normal
81647,Normal
81648,Normal
81649,Normal
81650,Normal
81651,Normal
81652,Normal
81653,Normal
81654,Normal
81655,Normal
81656,Normal
81657,Normal
81658,Normal
81659,Normal
81660,Normal
81661,Normal
81662,Normal
81663,Normal
81664,Normal
81665,Normal
81666,Normal
81667,Normal
81668,Normal
81669,Normal
81670,Normal
81671,Normal
81672,Normal
81673,Normal
81674,Normal
81675,Normal
81676,Normal
81677,Normal
81678,Normal
81679,Normal
81680,Normal
81681,Normal
81682,Normal
81683,Normal
81684,Normal
81685,Normal
81686,Normal
81687,Normal
81688,Normal
81689,Normal
81690,Normal
81691,Normal
81692,Normal
81693,Normal
81694,Normal
81695,Normal
81696,Normal
81697,Normal
81698,Normal
81699,Normal
81700,Normal
81701,Normal
81702,Normal
81703,Normal
81704,Normal
81705,Normal
81706,Normal
81707,Normal
81708,Normal
81709,Normal
81710,Normal
81711,Normal
81712,Normal
81713,Normal
81714,Normal
81715,Normal
81716,Normal
81717,Normal
81718,Normal
81719,Normal
81720,Normal
81721,Normal
81722,Normal
81723,Normal
81724,Normal
81725,Normal
81726,Normal
81727,Normal
81728,Normal
81729,Normal
81730,Normal
81731,Normal
81732,Normal
81733,Normal
81734,Normal
81735,Normal
81736,Normal
81737,Normal
81738,Normal
81739,Normal
81740,Normal
81741,Normal
81742,Normal
81743,Normal
81744,Normal
81745,Normal
81746,Normal
81747,Normal
81748,Normal
81749,Normal
81750,Normal
81751,Normal
81752,Normal
81753,Normal
81754,Normal
81755,Normal
81756,Normal
81757,Normal
81758,Normal
81759,Normal
81760,Normal
81761,Fraud
81762,Normal
81763,Normal
81764,Normal
81765,Normal
81766,Normal
81767,Normal
81768,Normal
81769,Normal
81770,Normal
81771,Normal
81772,Normal
81773,Normal
81774,Normal
81775,Normal
81776,Fraud
81777,Normal
81778,Normal
81779,Normal
81780,Normal
81781,Normal
81782,Normal
81783,Normal
81784,Normal
81785,Normal
81786,Normal
81787,Normal
81788,Normal
81789,Normal
81790,Fraud
81791,Normal
81792,Normal
81793,Normal
81794,Normal
81795,Normal
81796,Normal
81797,Normal
81798,Normal
81799,Normal
81800,Normal
81801,Normal
81802,Normal
81803,Normal
81804,Normal
81805,Normal
81806,Normal
81807,Normal
81808,Normal
81809,Normal
81810,Normal
81811,Normal
81812,Normal
81813,Normal
81814,Normal
81815,Normal
81816,Normal
81817,Normal
81818,Normal
81819,Normal
81820,Normal
81821,Normal
81822,Normal
81823,Normal
81824,Normal
81825,Normal
81826,Normal
81827,Normal
81828,Normal
81829,Normal
81830,Normal
81831,Normal
81832,Normal
81833,Normal
81834,Normal
81835,Normal
81836,Normal
81837,Normal
81838,Normal
81839,Normal
81840,Normal
81841,Normal
81842,Normal
81843,Normal
81844,Normal
81845,Normal
81846,Normal
81847,Normal
81848,Fraud
81849,Normal
81850,Normal
81851,Normal
81852,Normal
81853,Normal
81854,Normal
81855,Normal
81856,Normal
81857,Normal
81858,Normal
81859,Normal
81860,Fraud
81861,Normal
81862,Normal
81863,Normal
81864,Normal
81865,Normal
81866,Normal
81867,Normal
81868,Normal
81869,Normal
81870,Normal
81871,Normal
81872,Normal
81873,Normal
81874,Normal
81875,Normal
81876,Normal
81877,Normal
81878,Normal
81879,Normal
81880,Normal
81881,Normal
81882,Normal
81883,Normal
81884,Normal
81885,Normal
81886,Normal
81887,Normal
81888,Normal
81889,Normal
81890,Normal
81891,Normal
81892,Normal
81893,Normal
81894,Normal
81895,Normal
81896,Normal
81897,Normal
81898,Normal
81899,Normal
81900,Normal
81901,Normal
81902,Normal
81903,Normal
81904,Normal
81905,Normal
81906,Normal
81907,Normal
81908,Normal
81909,Normal
81910,Normal
81911,Fraud
81912,Normal
81913,Normal
81914,Normal
81915,Normal
81916,Normal
81917,Normal
81918,Normal
81919,Normal
81920,Normal
81921,Normal
81922,Normal
81923,Normal
81924,Normal
81925,Normal
81926,Normal
81927,Normal
81928,Normal
81929,Normal
81930,Normal
81931,Normal
81932,Normal
81933,Normal
81934,Normal
81935,Normal
81936,Normal
81937,Normal
81938,Normal
81939,Normal
81940,Normal
81941,Normal
81942,Normal
81943,Normal
81944,Normal
81945,Normal
81946,Normal
81947,Normal
81948,Normal
81949,Normal
81950,Normal
81951,Normal
81952,Normal
81953,Normal
81954,Normal
81955,Normal
81956,Normal
81957,Normal
81958,Normal
81959,Normal
81960,Normal
81961,Normal
81962,Normal
81963,Normal
81964,Normal
81965,Normal
81966,Normal
81967,Normal
81968,Normal
81969,Normal
81970,Normal
81971,Normal
81972,Normal
81973,Normal
81974,Normal
81975,Normal
81976,Normal
81977,Normal
81978,Normal
81979,Normal
81980,Normal
81981,Normal
81982,Normal
81983,Normal
81984,Normal
81985,Normal
81986,Normal
81987,Normal
81988,Normal
81989,Normal
81990,Normal
81991,Normal
81992,Normal
81993,Normal
81994,Normal
81995,Normal
81996,Normal
81997,Normal
81998,Normal
81999,Normal
82000,Normal
82001,Normal
82002,Normal
82003,Normal
82004,Normal
82005,Normal
82006,Normal
82007,Normal
82008,Normal
82009,Normal
82010,Normal
82011,Normal
82012,Normal
82013,Normal
82014,Normal
82015,Normal
82016,Normal
82017,Normal
82018,Normal
82019,Normal
82020,Normal
82021,Normal
82022,Normal
82023,Normal
82024,Normal
82025,Normal
82026,Normal
82027,Normal
82028,Normal
82029,Normal
82030,Normal
82031,Normal
82032,Normal
82033,Normal
82034,Fraud
82035,Normal
82036,Normal
82037,Normal
82038,Normal
82039,Normal
82040,Normal
82041,Normal
82042,Normal
82043,Normal
82044,Normal
82045,Normal
82046,Normal
82047,Normal
82048,Normal
82049,Normal
82050,Normal
82051,Normal
82052,Normal
82053,Normal
82054,Normal
82055,Normal
82056,Normal
82057,Normal
82058,Normal
82059,Normal
82060,Normal
82061,Normal
82062,Normal
82063,Normal
82064,Normal
82065,Normal
82066,Fraud
82067,Normal
82068,Normal
82069,Normal
82070,Normal
82071,Normal
82072,Normal
82073,Normal
